Sex,Industry_Not_stated,"Industry_Crop_and_animal_production,_hunting_and_related_service_activities",Industry_Forestry_and_logging,Industry_Fishing_and_aquaculture,Industry_Mining_of_coal_and_lignite,Industry_Extraction_of_crude_petroleum_and_natural_gas,Industry_Mining_of_metal_ores,Industry_Other_mining_and_quarrying,Industry_Mining_support_service_activities,Industry_Manufacture_of_food_products,Industry_Manufacture_of_beverages,Industry_Manufacture_of_tobacco_products,Industry_Manufacture_of_textiles,Industry_Manufacture_of_wearing_apparel,Industry_Manufacture_of_leather_and_related_products,"Industry_Manufacture_of_wood_and_of_products_of_wood_and_cork,_except_furniture;_manufacture_of_articles_of_straw_and_plaiting_materials",Industry_Manufacture_of_paper_and_paper_products,Industry_Printing_and_reproduction_of_recorded_media,Industry_Manufacture_of_coke_and_refined_petroleum_products,Industry_Manufacture_of_chemicals_and_chemical_products,Industry_Manufacture_of_basic_pharmaceutical_products_and_pharmaceutical_preparations,Industry_Manufacture_of_rubber_and_plastics_products,Industry_Manufacture_of_other_non-metallic_mineral_products,Industry_Manufacture_of_basic_metals,"Industry_Manufacture_of_fabricated_metal_products,_except_machinery_and_equipment","Industry_Manufacture_of_computer,_electronic_and_optical_products",Industry_Manufacture_of_electrical_equipment,Industry_Manufacture_of_machinery_and_equipment_n.e.c.,"Industry_Manufacture_of_motor_vehicles,_trailers_and_semi-trailers",Industry_Manufacture_of_other_transport_equipment,Industry_Manufacture_of_furniture,Industry_Other_manufacturing,Industry_Repair_and_installation_of_machinery_and_equipment,Industry_Making_jewellery,"Industry_Electricity,_gas,_steam_and_air_conditioning_supply","Industry_Water_collection,_treatment_and_supply",Industry_Sewerage,"Industry_Waste_collection,_treatment_and_disposal_activities;_materials_recovery",Industry_Remediation_activities_and_other_waste_management_services,Industry_Construction_of_buildings,Industry_Civil_engineering,Industry_Specialized_construction_activities,Industry_Wholesale_and_retail_trade_and_repair_of_motor_vehicles_and_motorcycles,"Industry_Wholesale_trade,_except_of_motor_vehicles_and_motorcycles","Industry_Retail_trade,_except_of_motor_vehicles_and_motorcycles",Industry_Land_transport_and_transport_via_pipelines,Industry_Water_transport,Industry_Air_transport,Industry_Warehousing_and_support_activities_for_transportation,Industry_Postal_and_courier_activities,Industry_Accommodation,Industry_Food_and_beverage_service_activities,Industry_Publishing_activities,"Industry_Motion_picture,_video_and_television_programme_production,_sound_recording_and_music_publishing_activities",Industry_Programming_and_broadcasting_activities,Industry_Telecommunications,"Industry_Computer_programming,_consultancy_and_related_activities",Industry_Information_service_activities,"Industry_Financial_service_activities,_except_insurance_and_pension_funding","Industry_Insurance,_reinsurance_and_pension_funding,_except_compulsory_social_security",Industry_Activities_auxiliary_to_financial_service_and_insurance_activities,Industry_Real_estate_activities,Industry_Legal_and_accounting_activities,Industry_Activities_of_head_offices;_management_consultancy_activities,Industry_Architectural_and_engineering_activities;_technical_testing_and_analysis,Industry_Scientific_research_and_development,Industry_Advertising_and_market_research,"Industry_Other_professional,_scientific_and_technical_activities",Industry_Veterinary_activities,Industry_Rental_and_leasing_activities,Industry_Employment_activities,"Industry_Travel_agency,_tour_operator,_reservation_service_and_related_activities",Industry_Security_and_investigation_activities,Industry_Services_to_buildings_and_landscape_activities,"Industry_Office_administrative,_office_support_and_other_business_support_activities",Industry_Public_administration_and_defence;_compulsory_social_security,Industry_Education,Industry_Human_health_activities,Industry_Residential_care_activities,Industry_Social_work_activities_without_accommodation,"Industry_Creative,_arts_and_entertainment_activities","Industry_Libraries,_archives,_museums_and_other_cultural_activities",Industry_Gambling_and_betting_activities,Industry_Sports_activities_and_amusement_and_recreation_activities,Industry_Activities_of_membership_organizations,Industry_Repair_of_computers_and_personal_and_household_goods,Industry_Other_personal_service_activities,Industry_Activities_of_households_as_employers_of_domestic_personnel,Industry_Undifferentiated_goods-_and_services-producing_activities_of_private_households_for_own_use,Industry_Activities_of_extraterritorial_organizations_and_bodies,Industry_Total,Township,MIMU_code
 Total,9040,51710,202,-,-,-,-,9,-,-,4,-,-,9,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,15,2,-,2,4,254,35,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,14,103,8,-,-,-,-,-,-,9,-,7,6,1,-,61463,Naphang,MMR015006
 Male,11,289,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,32,4,-,-,-,-,-,-,-,-,-,-,-,-,-,349,ManKan(ST),MMR015005
 Female,16,221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,1,-,-,-,-,-,-,-,-,-,-,-,-,263,ManKan(ST),MMR015005
 Total,27,510,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,36,10,1,-,-,-,-,-,-,-,-,-,-,-,-,612,ManKan(ST),MMR015005
 Male,4690,29835,110,35,1,4,-,50,1,152,73,1,4,78,-,47,-,4,5,-,4,9,14,53,103,-,-,-,-,-,68,341,194,-,39,39,-,-,-,3396,72,118,347,21,2054,1775,1,42,103,-,67,597,16,4,1,110,-,-,32,-,-,1,7,-,-,-,-,13,1,4,-,6,30,7,51,2772,123,81,5,129,42,-,13,8,33,22,537,18,-,2,48615,Kengtung,MMR016001
 Female,5232,19059,13,3,1,-,-,16,-,59,89,-,63,621,-,94,-,3,2,-,4,4,5,-,4,-,-,-,-,-,1,165,2,-,9,5,-,-,-,490,48,17,9,10,3344,62,-,9,22,-,77,1079,15,2,-,73,-,-,57,1,3,1,9,-,-,-,-,3,1,9,-,3,4,5,28,598,1002,292,7,42,7,-,1,8,28,-,341,108,5,3,33277,Kengtung,MMR016001
 Total,9922,48894,123,38,2,4,-,66,1,211,162,1,67,699,-,141,-,7,7,-,8,13,19,53,107,-,-,-,-,-,69,506,196,-,48,44,-,-,-,3886,120,135,356,31,5398,1837,1,51,125,-,144,1676,31,6,1,183,-,-,89,1,3,2,16,-,-,-,-,16,2,13,-,9,34,12,79,3370,1125,373,12,171,49,-,14,16,61,22,878,126,5,5,81892,Kengtung,MMR016001
 Male,1401,10409,352,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,65,1,-,21,-,62,28,-,-,1,-,1,5,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,307,13,2,1,6,-,-,-,1,10,-,4,1,-,-,12704,Minekat,MMR016002
 Female,1239,7115,264,-,-,-,-,-,-,2,1,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,111,1,-,-,-,-,1,4,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,55,18,-,-,-,-,1,-,-,-,6,1,-,-,8874,Minekat,MMR016002
 Total,2640,17524,616,-,-,-,-,-,-,4,1,-,-,8,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,67,4,-,21,-,173,29,-,-,1,-,2,9,-,-,-,3,-,-,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,346,68,20,1,6,-,-,1,1,10,-,10,2,-,-,21578,Minekat,MMR016002
 Male,714,15177,223,3,-,-,-,1,-,6,2,-,1,3,-,4,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,1,17,-,3,2,-,-,-,104,2,-,31,1,179,76,-,-,22,-,7,18,1,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,186,15,6,-,2,-,-,3,-,-,1,33,2,-,-,16853,Mineyan,MMR016003
 Female,538,12306,120,1,-,-,-,-,-,10,2,-,1,60,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,10,-,-,2,1,215,1,-,-,-,-,18,28,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,32,32,30,-,-,-,-,31,-,1,-,23,5,-,-,13475,Mineyan,MMR016003
 Total,1252,27483,343,4,-,-,-,1,-,16,4,-,2,63,-,5,-,1,-,-,-,-,2,-,1,-,-,-,-,-,-,1,17,-,3,3,-,-,-,114,2,-,33,2,394,77,-,-,22,-,25,46,1,-,-,3,-,-,3,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,218,47,36,-,2,-,-,34,-,1,1,56,7,-,-,30328,Mineyan,MMR016003
 Male,419,7449,27,2,-,-,-,-,-,2,-,-,-,6,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,3,9,-,7,-,-,-,-,248,5,2,51,10,207,67,-,-,6,-,59,65,1,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,3,-,-,5,-,6,28,24,6,1,9,1,-,23,4,5,-,23,2,-,-,8792,Minelar,MMR016005
 Female,323,5742,4,1,-,-,-,-,-,3,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4,-,-,-,-,21,-,-,5,4,222,2,-,-,-,-,117,87,1,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,1,-,3,1,34,12,-,2,-,-,88,-,1,-,14,8,1,-,6733,Minelar,MMR016005
 Total,742,13191,31,3,-,-,-,-,-,5,-,-,-,29,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,7,9,-,11,-,-,-,-,269,5,2,56,14,429,69,-,-,6,-,176,152,2,2,-,3,-,-,-,-,-,2,-,-,-,-,-,-,-,3,-,2,6,-,9,29,58,18,1,11,1,-,111,4,6,-,37,10,1,-,15525,Minelar,MMR016005
 Male,2616,12567,216,1,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,3,2,-,1,3,-,-,-,183,18,-,64,14,157,44,-,-,1,-,9,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,2,-,1,26,53,5,-,4,-,-,1,-,7,-,17,8,3,-,16092,Mine Pauk(ST),MMR016003
 Female,2574,9174,189,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,13,2,-,5,10,122,2,-,-,-,-,20,47,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,40,8,-,3,-,-,3,1,4,-,24,8,-,-,12255,Mine Pauk(ST),MMR016003
 Total,5190,21741,405,1,-,-,-,-,-,2,-,-,-,4,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2,4,2,-,1,3,-,-,-,196,20,-,69,24,279,46,-,-,1,-,29,103,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,1,-,-,2,-,1,27,93,13,-,7,-,-,4,1,11,-,41,16,3,-,28347,Mine Pauk(ST),MMR016003
 Male,1573,17373,274,1,-,-,-,28,-,17,7,1,-,19,-,12,-,6,-,-,-,10,-,6,6,-,1,-,-,-,43,75,52,-,19,8,-,-,-,682,14,5,169,1,431,252,11,7,7,-,5,96,2,-,-,6,-,-,3,-,-,-,4,-,-,-,-,11,1,1,-,-,4,-,27,967,82,36,5,34,2,-,6,14,91,3,100,21,1,-,22632,Minesat,MMR016006
 Female,1579,10832,124,-,-,-,-,3,-,13,4,1,2,70,-,3,-,1,-,-,-,3,-,-,-,-,-,-,-,-,3,38,2,-,1,7,-,-,-,63,7,1,7,5,917,4,-,3,2,-,3,344,2,-,-,5,-,-,8,-,-,-,5,-,-,-,-,1,-,3,-,-,2,1,10,113,208,67,1,11,2,-,5,13,14,-,80,26,3,-,14622,Minesat,MMR016006
 Total,3152,28205,398,1,-,-,-,31,-,30,11,2,2,89,-,15,-,7,-,-,-,13,-,6,6,-,1,-,-,-,46,113,54,-,20,15,-,-,-,745,21,6,176,6,1348,256,11,10,9,-,8,440,4,-,-,11,-,-,11,-,-,-,9,-,-,-,-,12,1,4,-,-,6,1,37,1080,290,103,6,45,4,-,11,27,105,3,180,47,4,-,37254,Minesat,MMR016006
 Male,663,13934,28,-,-,-,-,2,-,-,-,-,-,4,-,8,-,1,-,-,2,-,-,1,8,-,-,-,-,-,4,8,22,-,2,2,-,-,-,230,24,4,46,32,205,155,1,-,14,-,1,47,-,-,-,40,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,275,21,3,-,16,1,-,3,-,4,3,37,18,1,-,15872,Minepyin,MMR016007
 Female,617,10575,5,-,-,-,-,-,-,1,-,-,-,37,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,20,18,1,-,50,323,1,-,-,-,-,-,103,-,-,-,18,2,-,4,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,49,143,30,-,8,-,-,-,-,4,-,25,19,-,-,12060,Minepyin,MMR016007
 Total,1280,24509,33,-,-,-,-,2,-,1,-,-,-,41,-,9,-,2,-,-,3,-,-,1,8,-,-,-,-,-,4,9,22,-,2,2,-,-,-,250,42,5,46,82,528,156,1,-,14,-,1,150,-,-,-,58,2,-,4,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,2,324,164,33,-,24,1,-,3,-,8,3,62,37,1,-,27932,Minepyin,MMR016007
 Male,480,4649,53,1,-,-,-,15,-,-,-,-,-,3,-,1,-,-,-,-,-,-,4,-,-,-,-,-,-,-,4,21,9,-,4,-,-,-,-,165,11,-,35,8,114,147,-,-,5,-,1,9,2,2,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,6,390,19,8,-,4,-,-,-,-,17,-,29,7,1,-,6229,Minetung,MMR016008
 Female,315,2581,1,-,-,-,-,4,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,12,8,-,2,6,204,2,-,-,-,-,1,30,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,64,21,-,3,-,-,-,-,-,-,10,3,1,-,3344,Minetung,MMR016008
 Total,795,7230,54,1,-,-,-,19,-,-,-,-,-,28,-,1,-,-,-,-,-,-,4,-,-,-,-,-,-,-,4,23,9,-,4,-,-,-,-,177,19,-,37,14,318,149,-,-,5,-,2,39,2,2,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,6,438,83,29,-,7,-,-,-,-,17,-,39,10,2,-,9573,Minetung,MMR016008
 Male,321,4700,11,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,3,2,-,1,-,-,-,-,42,2,-,8,1,32,12,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,251,1,2,-,4,-,-,-,1,28,-,6,2,-,-,5444,Minekoke(ST),MMR016006
 Female,410,2314,-,-,-,-,-,7,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,1,2,62,-,-,-,-,-,-,3,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,18,7,-,-,-,-,-,-,-,-,4,2,-,-,2855,Minekoke(ST),MMR016006
 Total,731,7014,11,-,-,-,-,16,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,3,2,-,1,-,-,-,-,53,2,-,9,3,94,12,-,-,-,-,-,4,-,1,-,4,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,260,19,9,-,4,-,-,-,1,28,-,10,4,-,-,8299,Minekoke(ST),MMR016006
 Male,204,3688,2,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,4,-,-,-,-,-,-,73,1,3,5,-,33,22,-,-,-,-,2,5,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,123,6,2,-,2,-,-,-,-,-,1,15,5,-,-,4205,Tontar(ST),MMR016007
 Female,166,2649,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,1,-,-,4,82,-,-,-,-,-,6,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,33,13,-,3,-,-,-,-,-,-,6,2,-,-,3035,Tontar(ST),MMR016007
 Total,370,6337,2,-,1,-,-,-,-,-,-,-,1,7,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,4,-,-,-,-,-,-,81,2,3,5,4,115,22,-,-,-,-,8,47,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,135,39,15,-,5,-,-,-,-,-,1,21,7,-,-,7240,Tontar(ST),MMR016007
 Male,743,8954,207,-,-,-,-,1,-,-,2,-,-,3,-,10,-,-,-,-,-,2,-,2,-,-,-,-,-,-,45,56,23,-,5,3,-,-,-,129,-,1,101,4,205,86,-,-,2,-,-,18,1,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,6,175,24,11,-,13,2,-,-,-,40,3,350,51,14,-,11296,Ponparkyin(ST),MMR016008
 Female,696,5989,180,-,-,-,-,-,-,-,2,-,-,29,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4,-,-,1,1,-,-,-,9,-,-,2,3,263,-,-,-,-,-,1,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,17,65,19,-,8,-,-,-,-,24,-,229,53,15,-,7658,Ponparkyin(ST),MMR016008
 Total,1439,14943,387,-,-,-,-,1,-,-,4,-,-,32,-,10,-,-,-,-,-,3,-,2,-,-,-,-,-,-,45,60,23,-,6,4,-,-,-,138,-,1,103,7,468,86,-,-,2,-,1,64,1,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,7,192,89,30,-,21,2,-,-,-,64,3,579,104,29,-,18954,Ponparkyin(ST),MMR016008
 Male,23,1382,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-,-,4,6,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,54,9,1,-,-,-,-,-,-,24,-,33,-,6,-,1615,Monehta(ST),MMR016008
 Female,28,768,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,12,6,-,-,-,-,-,-,8,-,10,-,3,-,850,Monehta(ST),MMR016008
 Total,51,2150,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-,-,13,6,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,56,21,7,-,-,-,-,-,-,32,-,43,-,9,-,2465,Monehta(ST),MMR016008
 Male,3231,16592,102,15,1,2,1,69,2,110,53,-,6,91,2,44,-,14,-,-,1,4,8,37,288,-,-,-,-,1,187,238,239,-,110,114,-,-,1,7786,15,200,832,54,5045,2502,16,59,225,-,897,1267,17,2,-,33,9,9,75,1,16,34,16,-,-,-,4,45,4,25,-,15,87,15,100,1064,107,85,20,139,83,-,23,33,58,24,676,93,12,1,43386,Tachileik,MMR016009
 Female,3655,10245,20,2,2,1,1,13,1,68,25,-,21,452,36,26,-,9,-,-,2,2,-,-,7,-,-,-,-,-,12,119,5,-,5,32,-,-,-,871,1,11,39,55,7286,64,-,18,12,-,994,2140,8,3,-,20,-,1,119,-,4,13,11,-,-,-,-,10,-,21,-,18,10,11,72,229,575,198,12,48,68,1,17,62,26,1,790,672,13,4,29289,Tachileik,MMR016009
 Total,6886,26837,122,17,3,3,2,82,3,178,78,-,27,543,38,70,-,23,-,-,3,6,8,37,295,-,-,-,-,1,199,357,244,-,115,146,-,-,1,8657,16,211,871,109,12331,2566,16,77,237,-,1891,3407,25,5,-,53,9,10,194,1,20,47,27,-,-,-,4,55,4,46,-,33,97,26,172,1293,682,283,32,187,151,1,40,95,84,25,1466,765,25,5,72675,Tachileik,MMR016009
 Male,642,3750,26,1,-,-,-,1,-,2,-,-,-,2,-,6,-,1,1,-,-,2,-,-,3,-,-,-,-,-,29,24,18,-,-,-,-,-,-,248,7,4,40,1,133,101,-,-,5,-,3,35,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,3,-,1,291,18,10,12,33,4,-,-,-,6,1,50,4,1,1,5525,Talay(ST),MMR016009
 Female,528,2675,-,-,-,-,-,-,-,1,-,-,-,35,-,3,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,28,5,3,5,3,304,3,-,-,-,-,-,97,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,22,81,26,3,7,-,-,-,-,4,-,15,3,-,-,3862,Talay(ST),MMR016009
 Total,1170,6425,26,1,-,-,-,1,-,3,-,-,-,37,-,9,-,2,2,-,-,2,-,-,3,-,-,-,-,-,30,26,19,-,-,-,-,-,-,276,12,7,45,4,437,104,-,-,5,-,3,132,1,-,-,1,-,-,2,-,-,-,1,-,-,-,-,1,-,1,-,-,4,1,2,313,99,36,15,40,4,-,-,-,10,1,65,7,1,1,9387,Talay(ST),MMR016009
 Male,275,3021,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,4,2,9,-,-,-,-,-,-,103,-,1,11,-,34,22,11,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,97,9,-,1,12,-,-,-,-,2,-,9,1,-,-,3645,Kenglat(ST),MMR016009
 Female,348,2193,1,-,-,-,-,-,-,-,-,-,-,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,29,-,-,-,-,49,1,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,26,8,1,4,-,-,-,-,-,-,3,2,-,-,2701,Kenglat(ST),MMR016009
 Total,623,5214,4,-,-,-,-,-,-,-,-,-,-,7,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,5,2,9,-,-,-,-,-,-,132,-,1,11,-,83,23,11,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,110,35,8,2,16,-,-,-,-,2,-,12,3,-,-,6346,Kenglat(ST),MMR016009
 Male,481,6243,28,-,-,-,-,8,-,11,-,-,1,1,-,1,-,3,-,-,-,-,3,-,2,-,-,1,-,-,25,34,27,-,5,-,-,-,-,381,19,1,42,1,139,202,-,-,-,-,1,21,-,-,-,3,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,1,-,1,675,20,11,1,17,-,-,-,1,11,-,20,-,-,-,8444,Minephyat,MMR016010
 Female,577,3795,1,-,-,-,-,2,-,5,-,-,1,40,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,31,6,-,-,2,379,8,-,-,-,-,1,53,-,-,-,3,-,-,7,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,74,128,32,-,3,-,-,-,-,7,-,15,5,-,-,5195,Minephyat,MMR016010
 Total,1058,10038,29,-,-,-,-,10,-,16,-,-,2,41,-,2,-,3,-,-,-,-,4,-,2,-,-,1,-,-,25,49,27,-,5,-,-,-,-,412,25,1,42,3,518,210,-,-,-,-,2,74,-,-,-,6,-,-,7,-,-,-,4,-,-,-,-,1,-,-,-,-,1,-,1,749,148,43,1,20,-,-,-,1,18,-,35,5,-,-,13639,Minephyat,MMR016010
 Male,428,7417,13,2,-,-,-,-,-,9,-,-,-,3,-,14,-,1,-,-,-,1,-,1,20,-,-,-,-,-,12,10,32,-,5,8,-,-,-,281,-,-,20,2,120,182,-,-,1,-,1,19,-,-,-,4,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,4,2,1,358,24,8,-,13,1,-,-,-,6,1,24,-,-,-,9051,Mineyaung,MMR016011
 Female,527,5159,2,-,-,-,-,-,-,16,-,-,-,37,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,18,1,-,-,2,272,7,-,-,-,-,-,94,-,-,-,1,-,-,2,-,-,-,1,-,-,-,-,-,-,2,-,-,-,3,-,55,140,24,-,11,-,-,1,-,1,-,13,3,-,-,6399,Mineyaung,MMR016011
 Total,955,12576,15,2,-,-,-,-,-,25,-,-,-,40,-,18,-,1,-,-,-,1,-,1,20,-,-,-,-,-,12,12,32,-,5,9,-,-,-,299,1,-,20,4,392,189,-,-,1,-,1,113,-,-,-,5,-,-,3,-,-,-,1,-,-,-,-,1,-,3,-,-,4,5,1,413,164,32,-,24,1,-,1,-,7,1,37,3,-,-,15450,Mineyaung,MMR016011
 Male,446,15148,48,-,-,-,-,3,-,3,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,2,7,-,3,-,-,-,-,64,-,-,54,2,182,37,6,-,15,-,16,70,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,4,-,4,140,16,19,-,23,-,-,6,-,224,-,36,10,1,-,16601,Mineyu(ST),MMR016011
 Female,376,11768,36,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,15,-,-,4,2,214,2,-,-,5,-,22,80,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,-,-,-,-,-,-,2,11,41,26,-,11,-,-,15,-,47,-,16,5,-,-,12712,Mineyu(ST),MMR016011
 Total,822,26916,84,-,-,-,-,3,-,3,1,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,7,-,5,-,-,-,-,79,-,-,58,4,396,39,6,-,20,-,38,150,-,-,-,2,-,-,-,1,-,2,1,-,-,-,-,2,-,-,-,-,4,-,6,151,57,45,-,34,-,-,21,-,271,-,52,15,1,-,29313,Mineyu(ST),MMR016011
 Male,5728,35652,214,1712,1,-,-,7,-,668,22,4,1,62,1,82,-,1,-,7,-,7,3,17,22,-,-,1,-,2,31,259,213,8,54,18,-,-,-,1341,37,14,87,32,1754,1262,380,-,119,-,3,512,11,-,-,34,1,3,5,-,8,1,4,-,-,-,-,20,3,9,-,-,14,1,171,652,215,62,7,33,23,-,21,-,30,12,1414,325,5,-,53422,Kangyidaunt,MMR017002
